"receiver","amount","dueToDate","dueToDurationCode"
"0x036d6794fdDE4b5c4ED216503d0717783dF900AA",1.0,"Fri, 29 Mar 2024 16:32:45 GMT",3
"0x7C12f55043C6Ab71ebD91969e5f9e476368335E1",15406.159999999999475712,"Fri, 12 Apr 2024 20:25:37 GMT",4
"0x84641433b3e562d610D19D28263D727109d124A3",1244.009999999999934464,"Fri, 12 Apr 2024 21:03:56 GMT",4
"0x7d6897542DD5340761A61B6C0Cbfc624F647310B",561.65,"Sat, 13 Apr 2024 05:41:08 GMT",4
"0x3BE54703A235A4EDdfA2eC1549C135674Bf1391c",185.94,"Sat, 13 Apr 2024 08:11:31 GMT",4
"0xEc757B768f53607260Af86Ac2D9f32804A32e7E9",2603.63000000000032768,"Sat, 13 Apr 2024 10:47:26 GMT",4
"0x583bE7Ab5D95D2100bB2022F9F8849Ae6018AaBE",273.89,"Sat, 13 Apr 2024 11:31:06 GMT",4
"0x6752647Fcb33D9d8953F6fE8444DA53027941B43",5334.14000000000065536,"Sat, 13 Apr 2024 16:55:02 GMT",4
"0x1F88d0F55931fdc1DD95a714BDF7208ef9B4AB4f",19.0,"Sat, 13 Apr 2024 18:06:02 GMT",4
"0xFf87cc4f0aDf42Cd94303BbC12349b558f4eb8c4",12.07,"Sun, 14 Apr 2024 00:22:41 GMT",4
"0xe9Ce1ca0C3a0fC24Ef65d8BC1886F060368ccB66",10.0,"Sun, 14 Apr 2024 07:11:43 GMT",4
"0x6c934a68596AfFBb11FE2dea26cAe17792B075D7",199.87,"Mon, 15 Apr 2024 12:40:28 GMT",4
"0x43eB6fE17D7CC599AaC8b095B5CA412f4C72a2DD",0.1,"Tue, 16 Apr 2024 11:55:37 GMT",4
"0x123399E82844c374e3f0d40D3709654eD40585BC",39.11,"Tue, 16 Apr 2024 13:33:12 GMT",4
"0x7a0A7ECfe2fb1Cf265f71284f2716219d0e9D3D1",260.019999999999967232,"Tue, 16 Apr 2024 16:34:10 GMT",4
"0x6FB60326F6ADE54a1535c45Afc57bcb6f758594F",23.56,"Tue, 16 Apr 2024 17:05:22 GMT",4
"0xd396dC48Aef0829BE905D63110a3D5AF39b95Ba9",346.74,"Tue, 16 Apr 2024 22:05:11 GMT",4
