"receiver","amount","dueToTimestamp","dueToDurationCode"
"0x4878bED1EE979CDCf7F5A9F624EAd5669a2a210B",12.0,1705095117,4
"0x7d3332B720BD52F6a47dD18523F6D8d97dE6C3BC",147.32,1705095122,4
"0x1fc27d338116b7c24085196D379683F69b704C3e",0.32,1703280830,2
"0xEaEEd08E7a0e748040394BD7D9a98Db13F54EcFe",5263.2,1705098845,4
"0x2882EA99b803E734fBe48263fC7d97408918eB88",26290.209999999998099456,1705100314,4
"0xb6000324930f03B332910A1776B7338FcA7f1f27",60.0,1703917918,3
"0x91d45C9aC90c240062488364Ecec5E6Cb46d3f89",396.67,1705142331,4
"0x036d6794fdDE4b5c4ED216503d0717783dF900AA",0.1,1703346646,2
"0x60a11C355bFEd5b907088665358a896a8331E269",188.0,1705163454,4
"0xb56322fff5BA6f9e4D7b8Dd126E38da0BC95299D",6047.170000000000196608,1705164733,4
"0x35AC85c14Be0acc68870348F33B150364aF35303",0.75,1703352162,2
"0x4878bED1EE979CDCf7F5A9F624EAd5669a2a210B",1230.0,1705169633,4
"0x3d06C8a79ac2416514AE4C83b3dAd1875948af82",2174.619999999999868928,1705177592,4
"0xb6000324930f03B332910A1776B7338FcA7f1f27",50.0,1705179581,4
"0x29C29C0668474155B4522F657F488273C4eb7A1B",3857.44,1705181301,4
"0xb6000324930f03B332910A1776B7338FcA7f1f27",12016.580000000000393216,1705191372,4
"0x8E1d6E8A86fA16e64dEF5F7B9856eb6289E48317",4101.300000000000393216,1705191815,4
"0xbb9baD4E1F5F5d30ad0b4e9eD18d2cEAD3D63177",448.61,1705199571,4
"0x3B753afeE5EF08832Aff91C1556e080b4EFb680d",1476.569999999999934464,1705200166,4
"0x71B8976d5A647a5ECCE880fF426bDa9AE431CEfe",1983.500000000000131072,1705236477,4
"0x6715Aa8e58771ef30BD12796b6099780E52cE695",428.0,1705244178,4
"0x3Fdb50F723Ceb370470D314Ed05C22D7359BE529",2000.0,1705306968,4
"0x28EeD0C1514C91a47c641e8C88229AE4bB73f39C",246.32,1705309597,4
"0xd3C07484cCb7C786958b9585033A6d4fc69660d8",400.53,1705357063,4
"0xD420BA0f81BCEb270Eb5641b18367229358D7dC5",298.92,1705361130,4
"0xb95aFD7EBd22e257a32ba74193095985fc88Aab5",2377.260000000000131072,1705372611,4
"0xD0d17B7A7883dbcCEa51262Fe9E8463B3508aB48",798.42,1705408328,4
"0x77041e5379f9F12A568A5014d6619CD10C44aAd7",1834.089999999999934464,1705415441,4
"0x7ed0c3dB554fB14137a891D9906721E2fACDB415",1531.259999999999868928,1704209438,3
"0x9E90E79103D7E5446765135BCA64AaEA77F0C630",594.64,1705420131,4
"0xAb2DC39C24741181CBC4bf62D33F75033aFC8e05",11.79,1705435264,4
"0xecFCA6F723Dc00688599F8F0ca0a43c75AB5B05c",113.01,1705442289,4
"0x42A22772deC0cAe3B30658fB880f9Cd07397c637",1125.74,1705442396,4
"0xf20C06122adb43cF40c61f9f475ffB2d6122b51D",76.2,1705450238,4
"0x7A022dd04Ae7eCfF6b81497dEa188f16c5B53CD1",984.32,1705473770,4
"0xB3F0D956ba46d056fdA625b30c9c601841Ea1C06",553.01,1705492113,4
"0x36fe0D59c4fc06Cc8e0513dA573daA27Db012D47",244.16,1705506642,4
"0xFbe9c9260f2667b9A9f72dceDbBDF2074f7B8BEC",997.0,1705527914,4
"0x1d030335dB0AccB7Eb38F7884a6123699a119eEF",215.95,1705528934,4
"0x7cE266949781128441dc55923D37BaAA4364198C",194.13,1705578633,4
"0x3A4B9A686CF13CBEeA895CE06d9a97126423BD3e",915.090000000000065536,1705588135,4
"0xE45b077DA9112761F0d7f5C5015a406aF7ABAb1b",664.149999999999934464,1705648838,4
"0xFD92Ac53feA10fd022e9a94b7DBcbDA95809fD5E",1124.099999999999868928,1705677997,4
"0xd1d926f4D593Aa7b7641aD382B1cA80d16675680",348.88,1705695101,4
"0x6F025FdC4F07B9523CF0935ae471D39b34FcC787",2948.419999999999868928,1705711728,4
"0xa8004A71563BD339A5F23063Dad786ad320deA8B",4002.24,1705771003,4
"0xC80c40f6222659589CfB4Ec66502561E5209FbB8",140.0,1705815157,4
"0xfc95B3d1935EF58991552e3972A718F1dd57e9AF",4712.010000000000458752,1705816460,4
"0x4ff16602cb357D8Cd110Fe9215c49f2b05549950",204.11,1705844672,4
"0x6e5C091422e5023ae8509B296Bd66EA7315e7Da6",9514.19000000000032768,1705866025,4
"0xc437F2c71763833E67622685A26f0490a3E7a364",942.149999999999934464,1706013908,4
"0x32b02035f839DA0232BA6a13FBD981E2F10369d6",468.27,1706036191,4
"0x597b784C2F69a7352Fd631d3C00D2191d5a313BB",1000.36,1706036894,4
"0x70065f20f6299Cf360925Aa0D3B7097C86e6CF36",2690.0,1706050317,4
"0xF6E1A10878404D3b693948A82EEd02b8056A4Dd2",1074.880000000000131072,1706060556,4
"0x2E6d5D9AAb7710783Ab1712abd326a11e2437948",229.84,1706206301,4
"0xABC701544704dbB9Ba36bE64d60075cD12F20d94",185.08,1706206598,4
